Vekt i gram,Areal i cm^2,Slipphoyde i cm,Tid,Lufttrykk
0.32,21.24,50,0.513,1007
0.32,21.24,100,0.788,1007
0.32,21.24,150,1.113,1007
0.32,21.24,200,1.258,1007
9,21.24,50,0.333,1007
9,21.24,100,0.479,1007
9,21.24,150,0.583,1007
9,21.24,200,0.658,1007
61.17,21.24,50,0.304,1007
61.17,21.24,100,0.45,1007
61.17,21.24,150,0.546,1007
61.17,21.24,200,0.646,1007
1021,589.36,50,0.296,1007
1021,589.36,100,0.442,1007
1021,589.36,150,0.55,1007
1021,589.36,200,0.625,1007
1146,501.8,50,0.304,1007
1146,501.8,100,0.425,1007
1146,501.8,150,0.55,1007
1146,501.8,200,0.633,1007
12.68,8.043,50,0.333,1023
12.68,8.043,100,0.45,1023
12.68,8.043,150,0.56,1023
12.68,8.043,200,0.642,1023
54.36,7.069,50,0.329,1023
54.36,7.069,100,0.433,1023
54.36,7.069,150,0.542,1023
54.36,7.069,200,,1023
54.36,33.9,50,0.3,1023
54.36,33.9,100,0.446,1023
54.36,33.9,150,0.546,1023
54.36,33.9,200,0.638,1023
2.74,11.341,50,0.325,1023
2.74,11.341,100,0.467,1023
2.74,12.566,150,0.579,1023
2.74,12.566,200,0.671,1023
389,600,50,0.342,1023
389,600,100,0.5,1023
389,600,150,0.567,1023
389,600,200,0.692,1023
23.3,0.76,50,0.321,1023
23.3,0.76,100,0.429,1023
23.3,0.76,150,0.55,1023
23.3,0.76,200,0.663,1023
23.3,123.12,50,0.333,1023
23.3,123.12,100,0.5,1023
23.3,123.12,150,0.64,1023
23.3,123.12,200,0.754,1023
5.12,216,50,0.479,1009
5.12,216,100,0.775,1009
5.12,216,150,1.038,1009
5.12,216,200,1.35,1009
8.31,216,50,0.429,1008
8.31,216,100,0.658,1008
8.31,216,150,0.875,1008
8.31,216,200,1.175,1008
0.32,21.24,0,0,1007
9,21.24,0,0,1007
61.17,21.24,0,0,1007
1021,589.36,0,0,1007
1146,501.8,0,0,1007
12.68,8.043,0,0,1023
54.36,7.069,0,0,1023
54.36,33.9,0,0,1023
2.74,11.341,0,0,1023
389,600,0,0,1023
23.3,0.76,0,0,1023
23.3,123.12,0,0,1023
5.12,216,0,0,1009
8.31,216,0,0,1008
